a52dec 0.7.4-9
accountsservice 0.6.45-1
acl 2.2.52-4
acpi 1.7-2
acroread 9.5.5-7
adwaita-icon-theme 3.26.1-1
alex 3.2.3-3
alsa-lib 1.1.5-1
alsa-utils 1.1.5-2
android-studio 2.3.3.0-1
appstream 0.11.7-1
appstream-qt 0.11.7-1
apr 1.6.3-1
apr-util 1.6.1-1
arandr 0.1.9-2
archlinux-appstream-data 20171017-1
archlinux-keyring 20171130-1
aspell 0.60.6.1-5
at-spi2-atk 2.26.1-1
at-spi2-core 2.26.2-1
atk 2.26.1-1
atkmm 2.24.2+1+gf30b47f-2
attica-qt4 0.4.2-3
attica-qt5 5.41.0-1
attr 2.4.47-3
autoconf 2.69-4
automake 1.15.1-1
automoc4 0.9.88-8
avahi 0.7-1
babl 0.1.30-1
baloo 5.41.0-1
bash 4.4.012-2
binutils 2.29.1-1
bison 3.0.4-3
bluez 5.47-3
bluez-libs 5.47-3
bluez-qt 5.41.0-1
boost-libs 1.65.1-2
bower 1.8.2-1
breeze-icons 5.41.0-1
bridge-utils 1.6-2
btrfs-progs 4.14-1
bubblewrap 0.2.0-1
bzip2 1.0.6-6
c-ares 1.13.0-1
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.34.1-1
ca-certificates-utils 20170307-1
cabal-install 2.0.0.1-2
cairo 1.15.8-2
cairomm 1.12.2-2
cantarell-fonts 1:0.0.25-3
cdparanoia 10.2-5
chromium 63.0.3239.84-1
clang 5.0.0-1
clojure 1.9.0-2
clucene 2.3.3.4-9
cmake 3.10.0-3
cmatrix 1.2a-12
colord 1.4.1-1
compositeproto 0.4.2-3
confuse 3.2.1-1
convertlit 1.8-7
coreutils 8.28-1
cracklib 2.9.6-1
cryptsetup 2.0.0-1
curl 7.57.0-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.12.2-1
dbus-glib 0.108-1
dcadec 0.2.0-1
dconf 0.26.1-1
desktop-file-utils 0.23-1
device-mapper 2.02.176-1
devil 1.7.8-24
dhcpcd 6.11.5-1
dialog 1:1.3_20170509-1
diffutils 3.6-1
djvulibre 3.5.27-3
dmenu 4.7-1
dmraid 1.0.0.rc16.3-10
dnssec-anchors 20170711-1
docbook-xml 4.5-6
docbook-xsl 1.79.2-4
docker 1:17.11.0-1
dosfstools 4.1-1
double-conversion 3.0.0-1
downgrade 6.0.0-1
dri2proto 2.8-2
dri3proto 1.0-1
e2fsprogs 1.43.7-1
ebook-tools 0.2.2-4
editorconfig-core-c 0.12.1-2
elfutils 0.170-1
elisa-git r817.b2e5a86-1
elixir 1.5.2-1
enchant 2.1.2-2
erlang 20.0.1-2
evince 3.26.0+14+g2a499547-1
exiv2 0.26-2
expat 2.2.5-1
extra-cmake-modules 5.41.0-1
faad2 2.8.5-1
fakeroot 1.22-1
feh 2.22.2-1
ffmpeg 1:3.4-4
ffmpeg2.8 2.8.13-2
fftw 3.3.7-1
file 5.32-1
filesystem 2017.10-2
findutils 4.6.0-2
firefox 57.0.2-1
fixesproto 5.0+9+g4292ec1-1
flac 1.3.2-1
fontconfig 2.12.6+5+g665584a-1
fontforge 20170731-1
fontsproto 2.1.3-2
frameworkintegration 5.41.0-1
freetype2 2.8.1-1
fribidi 0.19.7-1
gawk 4.2.0-2
gc 7.6.0-1
gcc 7.2.1-2
gcc-libs 7.2.1-2
gconf 3.2.6-5
gdb 8.0.1-1
gdb-common 8.0.1-1
gdbm 1.13-1
gdk-pixbuf2 2.36.11-1
gegl02 0.2.0-7
gettext 0.19.8.1-2
ghc 8.2.2-1
ghc-libs 8.2.2-1
ghc-static 8.2.2-1
ghostscript 9.22-3
giblib 1.2.4-6
giflib 5.1.4-1
gimp 2.8.22-1
git 2.15.1-2
glew 2.1.0-1
glfw-x11 3.2.1-1
glib-networking 2.54.1-1
glib2 2.54.2-2
glibc 2.26-8
glibmm 2.54.1-1
glproto 1.4.17-1
glu 9.0.0-4
glxinfo 8.3.0-1
gmp 6.1.2-1
gnome-desktop 1:3.26.2-1
gnupg 2.2.3-1
gnutls 3.5.16-1
go 2:1.9.2-3
gparted 0.30.0-3
gperftools 2.6.2-1
gpgme 1.10.0-1
gpm 1.20.7-8
gprolog 1.4.4-3
gptfdisk 1.0.3-1
graphite 1:1.3.10-1
grep 3.1-1
groff 1.22.3-7
grub 2:2.02-4
gsettings-desktop-schemas 3.24.1+3+ge869987-1
gsfonts 20170829-1
gsm 1.0.17-1
gst-plugins-base 1.12.4-1
gst-plugins-base-libs 1.12.4-1
gstreamer 1.12.4-1
gtk-update-icon-cache 3.22.26+47+g3a1a7135a2-3
gtk2 2.24.31-1
gtk3 3.22.26+47+g3a1a7135a2-3
gtkmm 2.24.5-2
guake 0.8.11-1
guile 2.2.3-1
guile2.0 2.0.14-1
gvim 8.0.1389-1
gwenview 17.08.3-1
gzip 1.8-2
happy 1.19.8-2
harfbuzz 1.7.2-1
harfbuzz-icu 1.7.2-1
haskell-aeson 1.2.3.0-2
haskell-ansi-terminal 0.7.1.1-1
haskell-ansi-wl-pprint 0.6.8.1-5
haskell-async 2.1.1.1-5
haskell-attoparsec 0.13.2.0-5
haskell-base-compat 0.9.3-5
haskell-base16-bytestring 0.1.1.6-7
haskell-base64-bytestring 1.0.0.1-10
haskell-colour 2.3.4-1
haskell-conduit 1.2.12.1-3
haskell-cpphs 1.20.8-4
haskell-cryptohash-sha256 0.11.101.0-2
haskell-data-default 0.7.1.1-10
haskell-data-default-class 0.1.2.0-6
haskell-data-default-instances-containers 0.0.1-18
haskell-data-default-instances-dlist 0.0.1-23
haskell-data-default-instances-old-locale 0.0.1-18
haskell-dlist 0.8.0.3-4
haskell-echo 0.1.3-4
haskell-ed25519 0.0.5.0-6
haskell-edit-distance 0.2.2.1-7
haskell-exceptions 0.8.3-5
haskell-extensible-exceptions 0.1.1.4-18
haskell-hackage-security 0.5.2.2-9
haskell-hashable 1.2.6.1-4
haskell-http 4000.3.9-1
haskell-integer-logarithms 1.0.2-4
haskell-lifted-base 0.2.3.11-8
haskell-mmorph 1.1.0-5
haskell-monad-control 1.0.2.2-4
haskell-mtl 2.2.1-10
haskell-network 2.6.3.2-5
haskell-network-uri 2.6.1.0-8
haskell-old-locale 1.0.0.7-12
haskell-old-time 1.1.0.3-12
haskell-optparse-applicative 0.14.0.0-4
haskell-parsec 3.1.11-7
haskell-polyparse 1.12-7
haskell-primitive 0.6.2.0-5
haskell-quickcheck 2.10.1-2
haskell-random 1.1-10
haskell-resourcet 1.1.10-1
haskell-scientific 0.3.5.2-3
haskell-semigroups 0.18.3-6
haskell-setlocale 1.0.0.5-4
haskell-src-exts 1.19.1-4
haskell-stm 2.4.4.1-7
haskell-strict 0.3.2-6
haskell-syb 0.7-4
haskell-tagged 0.8.5-5
haskell-tar 0.5.0.3-6
haskell-text 1.2.2.2-5
haskell-tf-random 0.5-14
haskell-th-abstraction 0.2.6.0-3
haskell-time-locale-compat 0.1.1.3-5
haskell-transformers-base 0.4.4-9
haskell-transformers-compat 0.5.1.4-7
haskell-unliftio-core 0.1.0.0-3
haskell-unordered-containers 0.2.8.0-8
haskell-utf8-string 1.0.1.1-6
haskell-uuid-types 1.0.3-10
haskell-vector 0.12.0.1-5
haskell-x11 1.8-6
haskell-x11-xft 0.3.1-30
haskell-yaml 0.8.25-3
haskell-zlib 0.6.1.2-5
help2man 1.47.5-1
heroku-cli 6.14.36-2
hicolor-icon-theme 0.17-1
hspell 1.3-1
htop 2.0.2-2
http-parser 2.7.1-1
hunspell 1.6.2-1
hwids 20171003-1
hyphen 2.8.8-1
i3-wm 4.14.1-2
i3blocks 1.4-6
i3lock 2.9.1-2
i3lock-fancy-git r136.b81db64-1
i3status 2.11-3
iana-etc 20170824-1
icu 60.1-1
ijs 0.35-1
ilmbase 2.2.0-2
imagemagick 7.0.7.14-1
imlib2 1.4.10-1
inetutils 1.9.4-5
inotify-tools 3.14-4
inputproto 2.3.2-1
iproute2 4.14.1-2
iptables 1.6.1-1
iputils 20161105.1f2bb12-2
iso-codes 3.76-1
jack 0.125.0-3
jansson 2.10-2
jasper 2.0.14-1
java-environment-common 3-1
java-runtime-common 3-1
jbig2dec 0.14-1
jdk8-openjdk 8.u144-1
jdk9-openjdk 9.u181-4
jemalloc 1:5.0.1-3
jfsutils 1.1.15-4
jre8-openjdk 8.u144-1
jre8-openjdk-headless 8.u144-1
jre9-openjdk 9.u181-4
jre9-openjdk-headless 9.u181-4
js 24.2.0-4
json-c 0.12.1-1
json-glib 1.4.2-1
jsoncpp 1.8.3-2
jump-git r245.24fc1d4-1
kactivities 5.41.0-1
kactivities-stats 5.41.0-1
karchive 5.41.0-1
kauth 5.41.0-1
kbd 2.0.4-1
kbookmarks 5.41.0-1
kbproto 1.0.7-1
kcmutils 5.41.0-1
kcodecs 5.41.0-1
kcompletion 5.41.0-1
